No,Sex,Marital,Age,Income,JobType,Occupation,BorrowingRatio,CreditAppAmount,OtherDebts,DelinquencyInfo,DebtRestruct,Industry,Education,Dependents,OwnHouse,Foreigner,Phone,EmploymentYears,Guarantor,Collateral
1,男,既,50,3690000,2,接客スタッフ,0.0,3210000,0,0,0,サービス,1,3,1,0,0,9,1,1
2,女,未,60,3380000,2,製造オペレーター,0.0,2440000,0,0,0,製造,2,1,0,0,1,42,0,1
3,女,未,48,3860000,3,介護スタッフ,0.0,2760000,0,0,0,サービス,2,3,1,0,1,10,1,0
4,男,未,60,4080000,2,製造オペレーター,0.47,3880000,1900000,0,0,製造,4,1,0,0,0,19,1,1
5,女,未,53,4200000,2,製造オペレーター,0.24,2790000,990000,0,0,製造,3,0,0,0,0,15,1,1
6,男,既,40,3860000,2,販売スタッフ,0.0,740000,0,0,0,小売り,2,2,0,0,0,22,1,0
7,男,未,64,3130000,4,ホールスタッフ,0.0,4930000,0,0,0,飲食,3,0,1,0,1,13,0,1
8,男,未,25,5620000,1,市役所職員,0.28,1840000,1600000,0,0,行政,4,1,1,0,0,4,1,1
9,女,未,36,4470000,1,市役所職員,0.0,3260000,0,0,0,行政,3,3,1,0,1,18,1,0
10,男,未,53,3920000,2,販売スタッフ,0.18,2170000,720000,0,0,小売り,1,1,0,0,0,3,0,1
11,男,未,41,6860000,1,市役所職員,0.31,2770000,2110000,0,0,行政,2,2,0,1,0,15,1,0
12,女,未,52,5900000,1,高校教員,0.11,1070000,620000,0,0,教育,4,0,1,0,1,34,1,1
13,女,未,29,4920000,3,介護スタッフ,0.0,530000,0,0,0,サービス,4,2,1,0,0,10,0,1
14,女,未,43,4190000,3,店舗販売員,0.0,5000000,0,0,0,小売り,4,2,0,0,0,9,0,1
15,男,既,41,3660000,2,製造オペレーター,0.0,1410000,0,0,0,製造,3,3,0,0,1,21,1,0
16,女,未,56,4980000,1,高校教員,0.15,3340000,730000,1,1,教育,2,1,0,0,0,21,0,1
17,男,既,64,3140000,4,ホールスタッフ,0.19,3980000,590000,0,0,飲食,3,1,1,0,1,35,0,0
18,女,未,34,5680000,1,高校教員,0.13,880000,720000,0,0,教育,2,0,0,0,1,9,1,1
19,女,未,40,3200000,4,ホールスタッフ,0.0,530000,0,0,0,飲食,3,0,1,0,0,19,0,1
20,男,既,56,4470000,3,店舗販売員,0.0,3980000,0,0,0,小売り,3,0,1,0,0,0,1,1
21,男,未,34,3570000,3,店舗販売員,0.48,680000,1730000,0,0,小売り,4,3,1,0,0,6,1,1
22,女,未,29,2590000,3,介護スタッフ,0.0,4080000,0,0,0,サービス,4,1,1,0,1,4,0,0
23,男,未,60,2120000,4,ホールスタッフ,0.31,3640000,660000,0,0,飲食,4,0,0,0,1,34,0,0
24,男,未,55,780000,5,無職,0.0,920000,0,0,0,なし,2,1,1,0,0,17,1,0
25,男,未,59,2050000,4,ホールスタッフ,0.0,610000,0,0,0,飲食,2,0,0,0,0,6,0,1
26,男,未,35,2880000,3,店舗販売員,0.0,590000,0,0,0,小売り,3,0,0,0,1,8,0,1
27,女,未,34,2360000,4,ホールスタッフ,0.0,3120000,0,0,0,飲食,4,0,1,0,0,0,0,0
28,女,未,61,3390000,3,介護スタッフ,0.31,1250000,1060000,0,0,サービス,2,1,1,0,1,10,1,1
29,女,未,40,4960000,3,店舗販売員,0.42,4790000,2080000,1,1,小売り,4,3,0,0,1,10,1,0
30,女,未,30,4500000,3,介護スタッフ,0.0,3730000,0,0,0,サービス,1,1,1,0,1,1,0,1
31,男,未,26,3430000,2,販売スタッフ,0.31,2840000,1060000,0,0,小売り,2,0,1,0,0,7,1,0
32,女,未,60,6870000,1,高校教員,0.0,890000,0,0,0,教育,4,2,1,0,1,37,0,0
33,男,未,29,4760000,2,販売スタッフ,0.0,2480000,0,0,0,小売り,2,3,1,0,0,8,1,0
34,男,未,61,2010000,4,ホールスタッフ,0.0,1870000,0,0,0,飲食,2,3,1,0,0,29,1,1
35,女,既,40,4880000,2,販売スタッフ,0.0,4390000,0,0,0,小売り,3,0,0,0,1,13,1,1
36,女,既,47,2690000,3,店舗販売員,0.13,4440000,340000,0,0,小売り,3,2,0,0,0,0,1,1
37,男,未,32,3290000,2,接客スタッフ,0.0,980000,0,0,0,サービス,4,0,0,0,0,10,1,0
38,男,既,64,6080000,1,市役所職員,0.0,3760000,0,0,0,行政,1,3,0,0,1,42,1,1
39,女,未,36,5160000,3,プログラマ,0.0,4970000,0,0,0,IT,3,2,1,0,0,7,0,0
40,男,既,54,5380000,3,プログラマ,0.0,3380000,0,0,0,IT,2,1,0,0,1,27,1,1
41,男,未,27,2860000,4,ホールスタッフ,0.0,1750000,0,0,0,飲食,3,0,1,0,1,3,0,1
42,男,未,46,3690000,4,ホールスタッフ,0.41,2870000,1520000,0,0,飲食,1,3,0,0,1,9,0,0
43,女,既,52,4850000,3,店舗販売員,0.0,3050000,0,0,0,小売り,4,3,0,0,1,18,0,0
44,男,未,40,4040000,2,製造オペレーター,0.0,3630000,0,0,0,製造,1,1,1,0,1,8,0,0
45,女,未,35,2220000,4,ホールスタッフ,0.0,3290000,0,0,0,飲食,1,1,0,0,0,13,0,1
46,女,既,45,2980000,2,販売スタッフ,0.27,2740000,800000,0,0,小売り,4,3,0,0,0,2,0,1
47,女,未,28,4920000,3,店舗販売員,0.0,2180000,0,0,0,小売り,1,3,0,0,1,8,0,1
48,女,既,44,3180000,3,店舗販売員,0.18,920000,570000,0,0,小売り,2,2,1,0,0,21,0,0
49,男,未,52,2900000,3,介護スタッフ,0.0,2900000,0,0,0,サービス,2,1,0,0,0,7,1,0
50,女,既,50,3020000,4,ホールスタッフ,0.34,860000,1020000,0,0,飲食,4,1,1,0,1,30,0,1
51,女,既,52,3500000,4,ホールスタッフ,0.0,2090000,0,0,0,飲食,4,2,0,0,0,13,0,1
52,男,未,33,4250000,3,プログラマ,0.0,4480000,0,0,0,IT,3,0,1,0,0,2,0,0
53,男,未,45,6920000,3,プログラマ,0.0,4570000,0,0,0,IT,1,0,0,0,0,20,1,0
54,女,未,36,6030000,1,高校教員,0.34,760000,2050000,0,0,教育,1,0,0,0,0,2,1,0
55,男,未,36,4990000,3,店舗販売員,0.0,470000,0,0,0,小売り,3,1,0,0,1,11,0,0
56,男,既,26,4390000,3,店舗販売員,0.46,610000,2000000,1,0,小売り,2,1,0,0,1,4,1,0
57,男,未,52,7140000,3,プログラマ,0.27,1470000,1910000,0,0,IT,4,3,0,0,1,16,1,1
58,男,既,46,2540000,2,接客スタッフ,0.27,3480000,680000,0,0,サービス,2,0,0,0,0,1,0,1
