No,Sex,Marital,Age,Income,JobType,Occupation,BorrowingRatio,CreditAppAmount,OtherDebts,DelinquencyInfo,DebtRestruct,Industry,Education,Dependents,OwnHouse,Foreigner,Phone,EmploymentYears,Guarantor,Collateral
1,女,既,51,3350000,2,販売スタッフ,0.42,2910000,1410000,0,0,小売り,4,3,0,0,1,10,0,0
2,女,未,26,5490000,1,高校教員,0.0,3170000,0,0,0,教育,4,2,0,0,1,5,1,1
3,男,未,33,7460000,3,プログラマ,0.43,3210000,3190000,0,0,IT,2,2,0,0,0,12,0,1
4,女,既,28,6910000,1,市役所職員,0.0,2230000,0,0,0,行政,1,0,0,0,1,6,1,1
5,男,既,40,3000000,2,販売スタッフ,0.06,780000,190000,0,0,小売り,1,3,0,0,1,1,1,0
6,女,未,46,2480000,4,ホールスタッフ,0.06,680000,140000,0,0,飲食,1,2,1,0,0,21,0,1
7,女,未,43,4930000,3,介護スタッフ,0.37,1530000,1800000,0,0,サービス,1,2,0,0,1,3,1,0
8,女,既,52,3690000,2,製造オペレーター,0.0,3990000,0,0,1,製造,1,2,0,0,1,26,1,1
9,男,既,53,4760000,1,高校教員,0.39,1270000,1860000,0,0,教育,1,3,0,0,1,30,1,0
10,男,既,29,2280000,4,ホールスタッフ,0.0,390000,0,0,0,飲食,4,1,1,0,1,9,0,1
11,男,未,36,4950000,2,製造オペレーター,0.0,4960000,0,0,0,製造,4,1,0,0,1,7,1,0
12,女,未,35,3980000,4,ホールスタッフ,0.0,380000,0,0,0,飲食,1,1,1,0,1,14,0,1
13,男,未,56,3050000,2,製造オペレーター,0.0,4160000,0,0,0,製造,4,0,0,0,0,18,0,1
14,女,未,56,2470000,4,清掃員,0.09,720000,230000,0,0,サービス,1,0,1,0,0,36,1,0
15,男,既,35,3660000,2,販売スタッフ,0.32,310000,1160000,0,0,小売り,1,1,0,0,0,16,1,0
16,女,未,31,4960000,2,販売スタッフ,0.05,3640000,250000,0,0,小売り,4,1,0,0,1,13,0,1
17,男,未,64,6190000,1,市役所職員,0.0,1400000,0,0,0,行政,4,1,0,0,0,11,1,0
18,女,未,57,4250000,2,製造オペレーター,0.41,4590000,1730000,0,0,製造,2,3,1,0,0,4,0,0
19,男,未,62,2570000,3,介護スタッフ,0.11,2050000,290000,0,0,サービス,4,1,1,0,1,20,0,1
20,女,未,63,3180000,2,製造オペレーター,0.47,4000000,1480000,0,0,製造,1,2,0,0,0,26,0,1
21,男,未,43,4320000,3,介護スタッフ,0.33,1330000,1430000,0,0,サービス,3,2,1,0,1,2,0,1
22,男,未,33,2640000,2,販売スタッフ,0.11,1910000,290000,0,0,小売り,4,0,1,0,0,0,1,0
23,男,未,36,5820000,1,高校教員,0.0,4240000,0,0,0,教育,4,1,0,0,1,13,0,1
24,男,未,26,2300000,4,ホールスタッフ,0.0,4790000,0,0,0,飲食,1,3,1,0,1,1,1,1
25,女,未,32,4740000,2,販売スタッフ,0.28,4780000,1330000,0,0,小売り,2,1,0,0,0,4,0,0
26,女,未,26,2880000,4,ホールスタッフ,0.0,3430000,0,0,0,飲食,4,1,1,0,1,4,1,0
27,女,未,48,6050000,1,高校教員,0.08,1770000,510000,0,0,教育,1,3,1,0,0,10,0,0
28,女,未,33,2090000,4,ホールスタッフ,0.0,3250000,0,0,0,飲食,1,0,0,0,0,8,0,1
29,女,未,30,2370000,4,ホールスタッフ,0.0,1750000,0,0,0,飲食,3,1,0,0,0,3,0,0
30,女,未,43,4910000,3,介護スタッフ,0.0,2990000,0,0,0,サービス,2,1,1,0,1,3,1,1
31,女,未,27,2930000,2,接客スタッフ,0.22,3540000,640000,0,0,サービス,1,2,0,0,0,3,1,0
32,女,既,25,6570000,1,市役所職員,0.48,1550000,3160000,0,0,行政,2,3,0,0,0,3,0,1
33,女,未,42,6500000,3,プログラマ,0.0,1030000,0,0,0,IT,4,0,0,0,0,11,0,0
34,男,未,50,5650000,3,プログラマ,0.0,3300000,0,0,0,IT,4,0,1,0,0,14,1,0
35,男,未,50,4820000,3,店舗販売員,0.29,460000,1400000,0,0,小売り,2,2,0,0,1,29,1,0
36,女,未,58,6000000,1,高校教員,0.33,2170000,2000000,0,0,教育,4,3,0,0,0,13,0,1
37,男,未,61,3170000,4,ホールスタッフ,0.36,2380000,1150000,0,0,飲食,4,1,0,0,0,18,0,1
38,男,未,55,4280000,3,店舗販売員,0.25,1790000,1050000,0,0,小売り,4,1,1,0,0,20,0,1
39,女,未,50,3460000,4,ホールスタッフ,0.0,870000,0,0,0,飲食,3,3,1,0,1,29,0,0
40,女,未,33,5700000,1,市役所職員,0.0,1470000,0,0,0,行政,2,2,1,0,1,1,1,0
41,男,未,47,4890000,1,市役所職員,0.19,4240000,930000,0,0,行政,4,3,1,0,0,22,1,1
42,男,未,45,4550000,2,製造オペレーター,0.38,1540000,1730000,0,0,製造,4,1,1,0,1,4,0,0
43,女,未,43,3770000,4,ホールスタッフ,0.27,1320000,1020000,0,0,飲食,4,3,1,0,0,11,1,0
44,男,未,35,3220000,4,ホールスタッフ,0.27,3270000,880000,0,0,飲食,4,2,0,0,1,0,1,1
45,男,未,64,2900000,3,介護スタッフ,0.0,4070000,0,0,0,サービス,2,0,0,0,1,35,1,1
46,女,未,31,3220000,2,販売スタッフ,0.33,1490000,1060000,0,0,小売り,1,2,1,0,1,12,1,1
47,女,未,35,2990000,2,接客スタッフ,0.19,490000,570000,0,0,サービス,3,3,0,0,1,3,0,1
48,女,既,64,7590000,3,プログラマ,0.0,3000000,0,0,0,IT,2,3,0,0,0,46,0,1
49,女,未,51,5640000,3,プログラマ,0.32,2410000,1780000,0,0,IT,3,2,1,0,1,30,0,1
50,女,未,34,4000000,1,高校教員,0.0,490000,0,0,0,教育,2,3,0,0,0,1,0,1
51,男,未,50,3840000,2,製造オペレーター,0.0,2730000,0,0,0,製造,2,2,0,0,0,26,1,0
52,女,未,64,5210000,1,高校教員,0.0,2040000,0,0,0,教育,3,1,0,0,0,8,1,0
53,女,未,53,2960000,2,接客スタッフ,0.0,380000,0,0,0,サービス,1,3,0,0,0,33,0,1
54,女,既,34,3370000,4,ホールスタッフ,0.0,4200000,0,0,0,飲食,2,0,1,0,0,8,1,0
55,女,未,33,3600000,4,ホールスタッフ,0.35,2240000,1270000,0,0,飲食,1,2,1,0,1,3,1,0
56,男,既,36,6740000,1,市役所職員,0.21,2910000,1410000,0,0,行政,4,2,1,0,1,6,1,0
