Sex,Marital,Age,Income,JobType,Occupation,BorrowingRatio,CreditAppAmount,OtherDebts,DebtRestruct,Industry,Education,Dependents,OwnHouse,Foreigner,Phone,EmploymentYears,Guarantor,Collateral,PredictedProbability,Actual
1,1,29,3680000,4,1,0.0,1750000,0,0,7,3,2,0,0,0,2,0,1,0.060252568238733255,0
1,1,64,2970000,3,2,0.0,900000,0,0,2,2,2,0,0,1,6,0,0,0.12490940867369056,0
1,1,29,3740000,2,5,0.23,2640000,860000,0,2,1,1,1,0,1,1,0,1,0.06034428282525942,1
1,1,61,5730000,1,3,0.0,2460000,0,0,5,1,0,1,0,1,5,0,1,0.01747960248021725,0
1,1,34,3400000,3,2,0.0,330000,0,0,2,4,2,1,0,1,15,1,0,0.016326131501328126,0
0,0,45,7420000,3,0,0.48,3300000,3560000,0,0,1,1,0,0,1,0,1,1,0.7071027348249794,0
0,1,63,2740000,4,1,0.0,4330000,0,0,7,4,0,1,0,0,41,0,0,0.7092085050383683,0
1,0,46,6970000,1,10,0.48,660000,3330000,0,4,4,3,1,0,0,15,1,1,0.5344870298794046,0
0,1,33,2540000,2,9,0.0,1460000,0,0,3,1,2,0,0,1,13,0,0,0.08345151616454888,0
0,0,27,2700000,4,1,0.0,4980000,0,0,7,4,3,0,0,1,4,1,1,0.06254004376860138,1
1,1,32,4260000,2,9,0.0,4440000,0,0,3,3,0,1,0,0,1,1,1,0.048784178732490496,0
1,0,47,3030000,2,5,0.36,1280000,1080000,0,2,3,2,0,1,0,27,1,1,0.1634346025162578,0
1,1,49,4000000,4,1,0.27,1240000,1080000,0,7,2,3,0,0,0,7,1,0,0.024785912499391317,0
1,1,52,150000,5,7,0.0,580000,0,1,1,4,3,1,0,0,12,0,0,0.9370355904646133,1
1,1,63,2950000,4,1,0.07,4280000,200000,0,7,1,3,0,0,0,40,1,0,0.5293335754152866,0
0,1,56,3670000,4,1,0.0,1460000,0,0,7,4,1,1,0,1,7,0,1,0.03288761798695031,0
1,1,25,3260000,3,4,0.0,940000,0,0,3,2,1,1,0,1,3,1,0,0.015785222576979445,0
1,0,38,3430000,2,8,0.32,4480000,1090000,0,6,4,0,0,0,0,2,0,1,0.2969385366102874,0
1,0,42,6310000,1,3,0.47,4560000,2980000,1,5,4,0,1,0,1,8,1,1,0.8969048194325419,1
0,0,39,3060000,3,4,0.0,3710000,0,0,3,4,0,0,0,0,4,0,0,0.028050127535841435,0
0,1,32,2960000,2,9,0.0,4280000,0,0,3,4,3,1,0,1,4,1,1,0.10791721423316439,0
0,1,57,2800000,3,4,0.0,660000,0,0,3,3,2,0,0,0,35,0,1,0.13738232756756297,0
1,0,62,900000,5,7,0.33,1300000,300000,0,1,3,2,1,0,0,17,0,1,0.5532403846290712,0
0,0,65,5000000,3,0,0.0,2520000,0,0,0,2,0,0,0,1,43,0,1,0.018624759859717538,0
1,0,40,3990000,2,8,0.47,1620000,1890000,0,6,3,0,1,0,0,17,0,0,0.1500081170435186,0
1,1,58,3740000,2,9,0.35,2630000,1300000,0,3,4,0,0,0,0,39,1,1,0.05716701111654272,0
0,1,48,4970000,1,3,0.0,1570000,0,0,5,1,2,1,0,0,9,1,1,0.017887618172730286,0
0,1,48,4370000,2,5,0.0,4950000,0,0,2,4,1,0,0,1,12,1,0,0.006601682812575103,0
0,1,61,2960000,2,5,0.0,2100000,0,0,2,2,2,0,0,0,25,1,1,0.19505264229725114,1
0,0,63,4700000,2,9,0.49,1500000,2290000,0,3,3,1,1,0,1,23,0,0,0.5721643111171311,0
1,1,59,4210000,1,10,0.38,2810000,1610000,0,4,2,1,1,0,0,2,1,1,0.06054406159327688,0
1,1,31,3160000,2,5,0.0,2030000,0,0,2,4,0,0,0,0,12,1,1,0.027049700010274152,0
0,0,44,4800000,2,5,0.27,2160000,1300000,0,2,3,0,0,0,1,12,1,1,0.02145249591881924,0
0,0,29,3420000,2,9,0.36,2380000,1240000,0,3,2,1,1,0,1,9,0,1,0.11166159530835384,0
0,1,35,3750000,4,1,0.25,1210000,940000,0,7,2,2,0,0,0,16,1,0,0.03195537822754239,0
1,0,25,2890000,2,9,0.0,3330000,0,0,3,2,2,0,0,0,5,1,1,0.16247054929206436,0
0,1,53,2930000,4,1,0.5,3290000,1460000,0,7,4,3,1,0,0,5,0,1,0.273778113845702,0
0,0,47,3100000,3,4,0.0,760000,0,0,3,3,1,0,0,1,16,1,1,0.016384307271654,0
0,0,26,4590000,3,0,0.13,4990000,580000,0,0,3,0,1,0,1,1,1,1,0.008539951717391,0
0,0,61,4720000,3,2,0.0,350000,0,0,2,2,1,0,0,1,39,1,1,0.013227999695941744,0
0,0,35,3960000,2,8,0.35,3610000,1400000,0,6,3,0,0,0,0,0,1,1,0.10304798695893899,0
